StudentID,Name,Grade,AttendedRemedialClass
4001,Student_1,89,0
4002,Student_2,72,0
4003,Student_3,76,1
4004,Student_4,89,1
4005,Student_5,74,1
4006,Student_6,95,1
4007,Student_7,89,0
4008,Student_8,88,0
4009,Student_9,95,0
4010,Student_10,75,0
4011,Student_11,82,0
4012,Student_12,83,1
4013,Student_13,97,0
4014,Student_14,72,0
4015,Student_15,92,0
4016,Student_16,97,1
4017,Student_17,80,1
4018,Student_18,70,0
4019,Student_19,84,0
4020,Student_20,82,0
4021,Student_21,77,1
4022,Student_22,86,1
4023,Student_23,87,1
4024,Student_24,91,1
4025,Student_25,84,1
4026,Student_26,91,1
4027,Student_27,75,1
4028,Student_28,99,1
4029,Student_29,79,0
4030,Student_30,99,1
4031,Student_31,86,0
4032,Student_32,83,1
4033,Student_33,98,0
4034,Student_34,72,0
4035,Student_35,75,0
4036,Student_36,93,1
4037,Student_37,94,0
4038,Student_38,78,1
4039,Student_39,77,1
4040,Student_40,71,0
4041,Student_41,74,0
4042,Student_42,99,1
4043,Student_43,73,1
4044,Student_44,92,0
4045,Student_45,95,0
4046,Student_46,78,0
4047,Student_47,74,0
4048,Student_48,76,0
4049,Student_49,97,1
4050,Student_50,99,1
4051,Student_51,83,0
4052,Student_52,85,1
4053,Student_53,86,0
4054,Student_54,84,0
4055,Student_55,97,0
4056,Student_56,87,1
4057,Student_57,76,1
4058,Student_58,85,1
4059,Student_59,87,0
4060,Student_60,95,1
4061,Student_61,79,0
4062,Student_62,90,1
4063,Student_63,90,0
4064,Student_64,70,0
4065,Student_65,96,0
4066,Student_66,83,0
4067,Student_67,71,0
4068,Student_68,78,1
4069,Student_69,77,1
4070,Student_70,96,1
4071,Student_71,91,1
4072,Student_72,71,0
4073,Student_73,96,0
4074,Student_74,88,1
4075,Student_75,99,1
4076,Student_76,74,0
4077,Student_77,86,1
4078,Student_78,97,0
4079,Student_79,90,0
4080,Student_80,77,0
4081,Student_81,76,0
4082,Student_82,98,1
4083,Student_83,79,0
4084,Student_84,97,0
4085,Student_85,85,0
4086,Student_86,77,1
4087,Student_87,93,0
4088,Student_88,87,0
4089,Student_89,90,0
4090,Student_90,75,0
4091,Student_91,72,1
4092,Student_92,84,1
4093,Student_93,93,1
4094,Student_94,77,1
4095,Student_95,76,0
4096,Student_96,93,0
4097,Student_97,92,0
4098,Student_98,99,1
4099,Student_99,97,0
4100,Student_100,95,1
